"NOTE:
Please note that this is a Tentative course list for the upcoming semester. There may be addition and deletion of courses.
Exam Dates: 29 March 2020  (Sunday); 25 & 26 April 2020 (Saturday and Sunday) - 2 Sessions on each date : 9am- 12 noon; 2pm-5pm
For Rerun courses: We have given course link in NPTEL website for your reference to view syllabus and videos.
For New courses: We will update the syllabus link shortly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Click here to download the sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMELINE,4 Weeks (SET 1),8 Weeks (SET 1),12 Weeks,4 Weeks (SET 2),8 Weeks(SET 2),,,,,,,,,,,,,,,,,,,,,,,,,,
Start of Course,27-Jan-20,27-Jan-20,27-Jan-20,24-Feb-20,24-Feb-20,,,,,,,,,,,,,,,,,,,,,,,,,,
End of Course,21-Feb-20,20-Mar-20,17-Apr-20,20-Mar-20,17-Apr-20,,,,,,,,,,,,,,,,,,,,,,,,,,
Exam Dates - 1,29 March 2020  - 2 Sessions on each date : 9am- 12 noon; 2pm-5pm,,25 April 2020 and 26 April 2020 - 2 Sessions on each date : 9am- 12 noon; 2pm-5pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open enrollment to the Course,"Nov, 18 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close enrollment to the Course,3-Feb-20,,,24-Feb-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open exam registration form,16-Dec-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close exam registration form,"Feb 17, 2020/Feb 21, 2020 10:00 AM",,"Mar 16, 2020/Mar 20, 2020 10:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course id,Discipline,Course Name,SME Name,Institute,Duration,Type,Course Start Date,Course End Date,Exam date,UG/PG,Core/Elective,FDP,Old Url for rerun courses,Click here to Join the Course,NPTEL URL,,,,,,,,,,,,,,,,
noc20-ae01,Aerospace Engineering,Introduction to Airplane Performance,Prof. A. K. Ghosh,IITK,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_ae01,https://swayam.gov.in/nd1_noc20_ae01/preview,https://nptel.ac.in/courses/101/104/101104061,,,,,,,,,,,,,,,,
noc20-ae02,Aerospace Engineering,Rocket Propulsion,"Prof. K. Ramamurthi 
Prof. S. Varunkumar",IITM,12 Weeks,New,"January 27, 2020","April 17, 2020","April 25, 2020",UG/PG,Elective,Yes,,https://swayam.gov.in/nd1_noc20_ae02/preview,,,,,,,,,,,,,,,,,
noc20-ae03,Aerospace Engineering,Aircraft Maintenance,"Prof. A. K. Ghosh
Prof. Vipul Mathur",IITK,4 Weeks,Rerun,"January 27, 2020","February 21, 2020","March 29, 2020",UG/PG,Core,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_ae03,https://swayam.gov.in/nd1_noc20_ae03/preview,https://nptel.ac.in/courses/101/104/101104075/,,,,,,,,,,,,,,,,
noc20-me01,Applied Mechanics,Engineering Mechanics - Statics and Dynamics,Prof. Anubhab Roy,IITM,8 Weeks,Rerun,"January 27, 2020","March 20, 2020","March 29, 2020",UG,Core,No,https://onlinecourses-archive.nptel.ac.in/noc19_me01,https://swayam.gov.in/nd1_noc20_me01/preview,https://nptel.ac.in/courses/112/106/112106180,,,,,,,,,,,,,,,,
noc20-me02,Applied Mechanics,Experimental Stress Analysis,Prof. K. Ramesh,IITM,12 Weeks,Rerun,"January 27, 2020","April 17, 2020","April 26, 2020",UG/PG,Elective,Yes,https://onlinecourses-archive.nptel.ac.in/noc18_me39,https://swayam.gov.in/nd1_noc20_me02/preview,https://nptel.ac.in/courses/112/106/112106247,,,,,,,,,,,,,,,,
